Id,x,y,Expression,Action,Gesture,Interaction
person1,292,463,Sad,Walking,Down,Reading Book
person1,307,438,Sad,Walking,Down,Reading Book
person1,315,407,Sad,Walking,Down,Reading Book
person1,329,391,Sad,Walking,Down,Reading Book
person1,332,385,Sad,Walking,Down,Reading Book
person1,332,395,Sad,Walking,Down,Reading Book
person1,334,404,None,Walking,Down,Reading Book
person1,335,408,None,Walking,Down,Reading Book
person1,339,410,Sad,Walking,Down,Reading Book
person1,336,417,None,Walking,Down,Reading Book
person1,337,420,Sad,Walking,Down,Reading Book
person1,334,420,Sad,Walking,Down,Reading Book
person1,337,421,Sad,Walking,Down,Reading Book
person1,334,424,Sad,Walking,Down,Reading Book
person1,333,426,Sad,Walking,Down,Reading Book
person1,336,428,Sad,Walking,Down,None
person1,337,434,Sad,Walking,Down,None
person1,344,437,Sad,Walking,Down,Reading Book
person1,357,431,None,Walking,Down,Reading Book
person1,371,421,Sad,Walking,Down,Reading Book
person1,377,418,None,Walking,Down,Reading Book
person1,377,419,None,Walking,Down,Reading Book
person1,381,426,Sad,Walking,Down,None
person1,377,441,None,Walking,Down,None
person1,379,443,None,Walking,Down,None
person1,379,445,None,Walking,Down,None
person1,379,447,None,Walking,Down,None
person1,374,446,None,Walking,Down,None
person1,379,445,None,Walking,Down,None
person1,379,445,None,Walking,Down,None
person1,374,445,Happy,Walking,Down,None
person1,376,445,None,Walking,Down,None
person1,374,443,None,Walking,Down,None
person1,381,443,Happy,Walking,Down,None
person1,377,443,None,Walking,Down,None
person1,376,443,None,Walking,Down,None
person1,377,443,None,Walking,Down,None
person1,381,443,None,Walking,Down,None
person1,377,443,None,Walking,Down,None
person1,377,443,None,Standing,Down,None
person1,376,443,None,Standing,Down,None
person1,379,443,None,Standing,Down,None
person1,377,443,None,Standing,Down,None
person1,374,443,None,Standing,Down,None
person1,377,443,None,Standing,Down,None
person1,376,443,None,Standing,Down,None
person1,376,443,None,Standing,Down,None
person1,379,443,None,Standing,Down,None
person1,374,443,None,Standing,Down,None
person1,370,443,None,Standing,Down,None
person1,376,443,None,Standing,Down,None
person1,374,443,None,Standing,Down,None
person1,376,443,None,Standing,Down,None
person1,376,443,None,Standing,Down,None
person1,377,446,None,Standing,Down,None
person1,371,451,None,Standing,Down,None
person1,368,457,None,Standing,Down,None
person1,367,466,None,Standing,Down,None
person1,365,468,Happy,Standing,Down,None
person1,350,467,Happy,Standing,Down,None
person1,333,463,None,Standing,Down,None
person1,328,458,Happy,Walking,Down,None
person1,315,450,Happy,Walking,Down,None
person1,303,445,Happy,Standing,Down,None
person1,298,433,None,Standing,Down,None
person1,297,421,Neutral,Walking,Down,None
person1,303,408,None,Walking,Down,Reading Book
person1,312,403,None,Walking,Down,Reading Book
person1,329,404,None,Walking,Down,Reading Book
person1,337,405,None,Walking,Down,None
person1,340,404,None,Walking,Down,None
person1,350,401,None,Walking,Down,None
person1,371,393,None,Walking,Down,Reading Book
person1,376,392,None,Walking,Down,Reading Book
person1,392,392,None,Walking,Down,None
person1,418,387,None,Walking,Down,Reading Book
person1,447,384,None,Walking,Down,None
person1,447,386,None,Walking,Down,None
person1,454,386,None,Walking,Down,None
person1,464,378,None,Walking,Down,None
person1,462,370,None,Walking,Down,None
person1,475,364,None,Walking,Down,None
person1,462,358,None,Walking,Down,None
person1,538,351,None,Walking,Down,Reading Book
person1,561,350,None,Walking,Down,Reading Book
person1,520,356,None,Walking,Down,None
person1,531,356,None,Walking,Down,Reading Book
person1,510,375,None,Walking,Down,None
person1,504,391,None,Walking,Down,None
person1,475,409,None,Walking,Down,None
person1,467,418,None,Walking,Down,None
person1,462,424,None,Walking,Down,None
person1,454,425,None,Walking,Down,None
person1,454,426,None,Walking,Down,None
person1,447,423,None,Walking,Down,None
person1,435,418,None,Walking,Down,None
person1,429,415,None,Walking,Down,None
person1,421,413,None,Walking,Down,None
person1,394,413,None,Walking,Down,None
person1,387,411,None,Walking,Down,None
person1,382,402,None,Standing,Down,None
person1,377,392,Happy,Standing,Down,None
person1,368,383,Happy,Standing,Down,None
person1,347,366,None,Standing,Down,None
person1,345,364,None,Standing,Down,None
person1,335,361,Happy,Standing,Down,None
person1,322,366,None,Standing,Down,None
person1,314,367,None,Walking,Down,None
person1,312,366,None,Walking,Down,None
person1,310,363,None,Walking,Down,None
person1,318,358,None,Walking,Down,None
person1,316,345,Neutral,Walking,Down,None
person1,313,328,None,Walking,Down,None
person1,315,325,Neutral,Walking,Down,None
person1,337,322,Neutral,Walking,Down,Reading Book
person1,342,323,Neutral,Sitting,Down,None
person1,354,322,Neutral,Sitting,Down,None
person1,358,328,Neutral,Sitting,Down,None
person1,355,330,Neutral,Sitting,Down,None
person1,367,332,Neutral,Sitting,Down,None
person1,350,334,Neutral,Sitting,Down,None
person1,354,335,Neutral,Sitting,Down,None
person1,349,335,Neutral,Sitting,Down,None
person1,336,335,None,Sitting,Down,None
person1,324,338,Neutral,Sitting,Down,None
person1,306,338,None,Sitting,Down,None
person1,300,349,Happy,Standing,Down,None
person1,301,356,Happy,Standing,Down,Reading Book
person1,297,350,Neutral,Standing,Down,None
person1,280,315,Neutral,Standing,Down,None
person1,270,280,Neutral,Standing,Down,None
person1,254,248,Neutral,Standing,Down,None
person1,237,220,Neutral,Standing,Down,None
person1,222,188,Neutral,Standing,Down,None
person1,211,148,Neutral,Standing,Down,None
person1,202,88,Neutral,Standing,Down,None
person1,190,20,None,Walking,Down,Reading Book
person1,191,20,None,Walking,Down,Reading Book
person1,718,20,None,Walking,Down,Reading Book
person1,725,20,None,Walking,Down,Reading Book
person1,725,20,None,Walking,Down,Reading Book
person1,725,20,None,Walking,Down,Reading Book
person1,718,20,None,Walking,Down,Reading Book
person1,725,20,None,Walking,Down,Reading Book
person1,725,20,None,Walking,Down,Reading Book
person1,725,20,None,Walking,Down,Reading Book
person1,725,20,None,Walking,Down,Reading Book
person1,712,20,None,Walking,Down,Reading Book
person1,725,20,None,Walking,Down,Reading Book
person1,151,36,Neutral,Walking,Down,Reading Book
person1,156,42,Neutral,Walking,Down,Reading Book
person1,157,68,Neutral,Walking,Down,Reading Book
person1,156,105,Neutral,Walking,Down,Reading Book
person1,154,96,Neutral,Walking,Down,Reading Book
person1,151,102,Neutral,Walking,Down,Reading Book
person1,149,95,Neutral,Walking,Down,Reading Book
person1,147,52,Neutral,Walking,Down,Reading Book
person1,143,46,Neutral,Walking,Down,Reading Book
person1,141,40,Neutral,Walking,Both Hands Up,Reading Book
person1,144,94,None,Walking,Right Hand Up,Reading Book
person1,140,65,Neutral,Walking,Both Hands Up,Reading Book
person1,146,61,Neutral,Walking,Down,Reading Book
person1,153,91,Neutral,Walking,Down,Reading Book
person1,157,98,Neutral,Walking,Down,Reading Book
person1,157,94,Neutral,Walking,Down,Reading Book
person1,156,93,Neutral,Walking,Down,Reading Book
person1,154,77,Neutral,Walking,Down,Reading Book
person1,152,61,Neutral,Walking,Down,Reading Book
person1,152,52,Neutral,Walking,Down,Reading Book
person1,153,42,Sad,Walking,Down,Reading Book
person1,153,40,Sad,Walking,Down,Reading Book
person1,152,41,Sad,Walking,Down,Reading Book
person1,152,42,Sad,Walking,Down,Reading Book
person1,151,43,Sad,Walking,Down,Reading Book
person1,150,57,Neutral,Walking,Both Hands Up,Reading Book
person1,148,51,Neutral,Walking,Down,Reading Book
person1,147,49,Neutral,Walking,Both Hands Up,Reading Book
person1,149,55,Neutral,Walking,Down,Reading Book
person1,151,105,Neutral,Walking,Down,Reading Book
person1,151,190,None,Walking,Down,Reading Book
person1,154,291,None,Walking,Down,Reading Book
person1,157,337,Neutral,Sitting,Down,Reading Book
person1,165,377,Neutral,Sitting,Down,Reading Book
person1,171,346,Neutral,Walking,Down,Reading Book
person1,176,339,Neutral,Walking,Down,Reading Book
person1,185,338,Neutral,Walking,Down,Reading Book
person1,196,331,Neutral,Walking,Down,Reading Book
person1,204,335,Neutral,Walking,Down,Reading Book
person1,210,361,Neutral,Walking,Down,Reading Book
person1,215,388,Neutral,Walking,Down,Reading Book
person1,216,421,Neutral,Sitting,Down,Reading Book
person1,222,449,Neutral,Walking,Down,Reading Book
person1,226,455,Neutral,Sitting,Down,Reading Book
person1,231,438,Neutral,Sitting,Down,Reading Book
person1,236,425,Neutral,Walking,Down,Reading Book
person1,239,414,None,Walking,Down,Reading Book
person1,239,405,None,Walking,Down,Reading Book
person1,237,404,Neutral,Walking,Down,Reading Book
person1,237,408,Neutral,Walking,Down,Reading Book
person1,237,419,Neutral,Walking,Down,Reading Book
person1,237,420,Neutral,Sitting,Down,Reading Book
person1,237,424,Neutral,Sitting,Down,Reading Book
person1,239,424,Neutral,Walking,Down,Reading Book
person1,237,424,Neutral,Walking,Down,Reading Book
person1,238,424,Neutral,Walking,Down,Reading Book
person1,238,423,Neutral,Walking,Down,Reading Book
person1,239,423,Neutral,Walking,Down,Reading Book
person1,240,416,Neutral,Walking,Down,Reading Book
person1,244,401,Sad,Walking,Down,Reading Book
person1,256,401,Sad,Walking,Down,Reading Book
person1,268,434,Sad,Walking,Down,Reading Book
person1,279,452,Sad,Walking,Down,Reading Book
person1,297,455,Sad,Walking,Down,Reading Book
person1,315,449,Neutral,Walking,Down,Reading Book
person1,325,441,Sad,Walking,Down,Reading Book
person1,342,438,Neutral,Walking,Down,Reading Book
person1,341,437,None,Walking,Down,Reading Book
person1,357,439,None,Walking,Down,Reading Book
person1,362,439,None,Walking,Down,Reading Book
person1,387,439,None,Walking,Down,Reading Book
person1,445,434,None,Walking,Down,Reading Book
person1,418,415,None,Walking,Down,Reading Book
person1,435,409,None,Walking,Down,Reading Book
person1,435,403,None,Walking,Down,Reading Book
person1,438,407,None,Walking,Down,Reading Book
person1,416,417,None,Walking,Right Hand Up,Reading Book
person1,394,434,None,Walking,Right Hand Up,Reading Book
person1,377,448,None,Walking,Right Hand Up,Reading Book
person1,354,458,None,Walking,Right Hand Up,Reading Book
person1,347,456,None,Walking,Right Hand Up,Reading Book
person1,330,452,None,Walking,Right Hand Up,Reading Book
person1,315,452,None,Walking,Right Hand Up,Reading Book
person1,304,456,None,Walking,Right Hand Up,Reading Book
person1,292,456,Sad,Walking,Right Hand Up,Reading Book
person1,266,463,Sad,Walking,Right Hand Up,Reading Book
person1,251,460,Sad,Walking,Right Hand Up,Holding Book
person1,235,456,Sad,Walking,Down,Holding Book
person1,216,427,Sad,Walking,Down,Reading Book
person1,202,411,Neutral,Walking,Down,Reading Book
person1,190,392,Neutral,Walking,Down,None
person1,173,369,Neutral,Walking,Down,None
person1,163,351,Happy,Walking,Down,None
person1,153,303,Happy,Walking,Down,None
person1,145,240,Happy,Walking,Down,Reading Book
person1,153,240,None,Walking,Down,Reading Book
person1,712,240,None,Walking,Down,Reading Book
person1,162,133,Sad,Walking,Down,Reading Book
person1,166,123,Sad,Walking,Down,Reading Book
person1,164,94,Neutral,Walking,Down,Reading Book
