time,x,y,action,interactions,target_obj
29:35.1,91,403,laying,none,none
29:35.3,91,403,laying,none,none
29:35.5,89,402,laying,none,none
29:35.7,80,436,laying,none,none
29:35.9,77,439,laying,none,none
29:36.1,77,448,laying,none,none
29:36.3,72,467,laying,none,none
29:36.5,74,453,laying,none,none
29:36.7,78,435,laying,none,none
29:36.9,83,419,laying,none,none
29:37.1,83,416,laying,none,none
29:37.3,83,413,laying,none,none
29:38.1,73,464,laying,none,none
29:38.3,73,464,laying,none,none
29:38.5,75,458,laying,none,none
29:38.8,78,452,laying,none,none
29:39.0,89,407,laying,none,none
29:39.2,98,385,laying,none,none
29:39.4,94,399,laying,none,none
29:39.6,95,428,laying,none,none
29:39.8,88,457,sitting,none,none
29:40.0,87,461,laying,none,none
29:40.2,79,384,sitting,none,none
29:40.4,77,419,sitting,none,none
29:40.6,76,445,sitting,none,none
29:40.8,86,382,laying,none,none
29:41.0,91,390,laying,none,none
29:41.2,94,420,sitting,none,none
29:41.4,85,388,sitting,none,none
29:41.6,78,375,sitting,none,none
29:41.8,74,373,sitting,none,none
29:42.1,43,322,standing,none,none
29:42.3,46,328,sitting,none,none
29:42.5,46,338,sitting,none,none
29:42.7,54,331,sitting,none,none
29:42.9,52,327,sitting,none,none
29:43.1,50,320,sitting,none,none
29:43.3,54,342,sitting,none,none
29:43.5,47,331,sitting,none,none
29:43.7,48,340,sitting,none,none
29:43.9,54,335,sitting,none,none
29:44.1,48,329,sitting,none,none
29:44.3,51,328,sitting,none,none
29:44.5,47,332,sitting,none,none
29:44.7,53,342,sitting,none,none
29:44.9,49,328,sitting,none,none
29:45.2,46,329,sitting,none,none
29:45.4,52,341,sitting,none,none
29:45.6,45,334,sitting,none,none
29:45.8,47,328,sitting,none,none
29:46.0,53,363,sitting,none,none
29:46.2,58,378,sitting,none,none
29:46.4,56,378,sitting,none,none
29:46.6,50,380,sitting,none,none
29:46.8,53,406,sitting,none,none
29:47.0,65,386,sitting,none,none
29:47.2,68,378,laying,none,none
29:47.4,68,378,laying,none,none
29:47.6,42,426,laying,none,none
29:47.8,30,404,laying,none,none
29:48.0,21,419,laying,none,none
29:48.2,27,455,laying,none,none
29:48.5,3,411,laying,none,none
29:48.7,3,411,laying,none,none
29:48.9,0,418,laying,none,none
29:49.1,24,455,laying,none,none
